Name,periodo,lpa,pl,vpa,pVp,pEbit,pEbitda,pAtivos,ebitda,margemEbitda,psr,roe,roa,roic,evEbit,evEbitda,divYield,divPayout,beta,valorizacao,negociosDia,volumeDiario,valorMercado
KLBN4,2002,-0.22,-4.61,1.25,0.83,9.04,9.04,1.22,640.0,23.0,2.06,-17.9,-4.32,14.18,41.06,41.06,2.91,0.0,0.66,0.0,54.32,0.0,0.0
KLBN4,2003,1.09,3.44,1.98,1.9,13.39,13.39,5.52,1577.0,53.0,7.11,55.26,26.26,42.43,15.58,15.58,1.86,0.0,0.54,250.0,104.62,3.0,0.0
KLBN4,2004,0.53,10.2,2.36,2.29,40.39,40.39,6.95,751.0,28.0,11.12,22.44,11.13,17.75,33.23,33.23,5.74,0.0,0.63,50.0,190.57,4.0,0.0
KLBN4,2005,0.37,11.3,2.55,1.63,45.89,30.96,4.97,753.0,28.0,8.62,14.4,7.18,11.24,49.46,33.36,5.06,56.38,1.19,-20.37,223.08,4.0,0.0
KLBN4,2006,0.53,10.04,2.8,1.91,64.08,42.27,4.91,711.0,26.0,11.08,19.01,7.99,7.93,56.14,37.03,4.11,39.26,0.92,37.21,335.44,7.0,0.0
KLBN4,2007,0.69,9.52,3.13,2.11,72.67,49.25,4.64,754.0,27.0,13.28,22.2,7.95,6.88,53.7,36.39,4.99,44.43,1.08,30.51,724.24,11.0,0.0
KLBN4,2008,-0.37,-8.93,2.48,1.34,57.22,25.54,2.26,728.0,24.0,6.01,-14.95,-4.13,4.05,88.57,39.54,8.16,-69.41,0.83,-46.05,1032.91,8.0,0.0
KLBN4,2009,0.37,14.5,2.66,1.99,96.54,39.93,3.73,747.0,25.0,10.08,13.75,4.2,3.96,90.47,37.43,2.64,36.61,1.03,58.14,1923.46,8.0,0.0
KLBN4,2010,0.64,9.21,5.62,1.04,39.98,23.78,2.68,1382.0,38.0,8.97,11.31,4.75,8.87,30.98,18.43,3.59,30.7,0.95,13.24,2355.49,12.0,0.0
KLBN4,2011,0.2,39.68,5.4,1.48,56.32,33.41,3.53,1345.0,35.0,11.56,3.73,1.45,8.11,32.67,19.38,3.0,111.89,0.85,42.86,3235.76,15.0,0.0
KLBN4,2012,0.82,15.59,5.91,2.17,43.71,32.13,5.1,2236.0,54.0,17.26,13.89,5.34,14.92,16.19,11.9,2.5,36.52,0.66,71.03,5369.68,25.0,0.0
KLBN4,2013,0.32,38.66,5.88,2.09,61.5,36.52,4.62,1886.0,41.0,14.98,5.4,1.95,9.66,24.39,14.49,2.85,103.44,0.55,-1.64,6489.24,33.0,0.0
KLBN4,2014,0.15,18.63,1.49,1.93,9.52,6.1,0.76,2651.0,54.0,3.31,10.36,3.45,11.34,16.81,10.78,5.21,45.42,0.45,24.43,2999.3,9.0,13801524.0
KLBN4,2015,-0.26,-14.39,1.13,3.37,14.35,8.6,0.81,2490.0,44.0,3.76,-23.41,-4.77,7.48,23.96,14.36,2.1,-30.09,0.33,39.15,305.52,1.0,22196030.0
KLBN4,2016,0.52,5.43,1.5,1.9,11.45,7.46,0.55,2146.0,30.0,2.26,34.96,8.47,6.29,25.28,16.47,3.51,18.01,0.36,-17.92,268.09,0.0,16774393.0
KLBN4,2017,0.11,28.14,1.51,2.08,11.36,7.1,0.58,2486.0,30.0,2.11,7.38,1.75,7.2,22.29,13.92,2.23,94.94,0.46,15.62,296.5,1.0,16847030.0
KLBN4,2018,0.03,81.87,1.21,2.34,5.33,3.97,0.54,4002.0,40.0,1.59,2.86,0.63,13.76,11.98,8.93,6.71,449.2,0.19,-7.43,238.91,0.0,17181528.0
KLBN4,2019,0.13,26.82,1.2,2.95,7.9,5.46,0.57,3654.0,36.0,1.94,11.01,2.06,10.55,14.92,10.32,3.94,133.66,0.5,25.97,891.32,2.0,19918887.0
KLBN4,2020,-0.43,-12.25,0.78,6.68,9.1,7.21,0.83,4062.0,34.0,2.45,-54.52,-6.78,12.04,13.41,10.62,0.0,-9.33,0.51,45.29,3383.02,8.0,29741120.0
KLBN4,2021,0.61,8.24,1.26,3.96,5.1,4.31,0.67,6511.0,40.0,1.7,48.08,8.1,17.68,8.03,6.8,1.4,11.8,0.45,-0.85,1596.18,7.0,28831027.0
KLBN4,Hoje,0.88,4.7,1.95,2.12,3.14,2.68,0.5,8692.0,45.0,1.19,45.08,10.73,19.93,6.03,5.14,7.0,29.61,0.43,-11.54,1941.48,6.0,23269313.0
