Name,periodo,lpa,pl,vpa,pVp,pEbit,pEbitda,pAtivos,ebitda,margemEbitda,psr,roe,roa,roic,evEbit,evEbitda,divYield,divPayout,beta,valorizacao,negociosDia,volumeDiario,valorMercado
PETR3,1999,16.53,24.2,165.69,2.41,1946.79,1946.79,92.1,2680.0,9.0,176.31,9.97,3.17,4.94,131.9,131.9,0.0,0.0,NaN,450.0,101.42,6.0,0.0
PETR3,2000,9.19,5.28,23.22,2.09,45.1,45.1,9.45,14029.0,28.0,12.71,39.55,14.9,22.25,25.07,25.07,16.85,0.0,0.62,26.47,226.48,24.0,49721841.0
PETR3,2001,9.24,5.68,26.71,1.97,53.16,53.16,9.11,12879.0,22.0,11.91,34.6,13.35,18.2,27.43,27.43,6.42,0.0,0.61,12.5,213.55,21.0,55554220.0
PETR3,2002,7.27,7.27,31.05,1.7,64.16,64.16,7.08,10735.0,16.0,9.96,23.41,8.12,11.82,34.03,34.03,6.23,0.0,0.84,5.32,240.46,21.0,50395226.0
PETR3,2003,17.85,4.71,46.5,1.81,38.14,38.14,8.05,28767.0,30.0,11.46,38.39,14.37,22.27,13.1,13.1,5.51,0.0,0.8,72.15,261.93,20.0,83775503.0
PETR3,2004,17.76,6.0,58.85,1.81,46.48,46.48,9.45,29892.0,28.0,12.84,30.17,13.24,21.66,12.43,12.43,4.91,0.0,0.8,28.9,397.63,31.0,106528667.0
PETR3,2005,5.87,7.03,19.37,2.13,13.55,13.55,2.94,39770.0,29.0,3.94,30.31,14.03,22.78,9.54,9.54,10.07,0.0,0.75,66.24,393.29,31.0,163208716.0
PETR3,2006,6.54,8.33,23.94,2.28,16.94,13.72,3.38,51814.0,33.0,4.49,27.34,13.64,21.08,9.02,7.31,3.8,0.0,0.93,33.36,786.8,54.0,218474492.0
PETR3,2007,5.53,18.98,27.39,3.83,37.71,29.07,5.92,47118.0,28.0,8.03,20.2,10.5,16.71,10.26,7.91,1.3,0.0,0.95,92.7,1421.67,106.0,387814159.0
PETR3,2008,3.68,7.48,16.07,1.71,7.33,5.85,1.23,61294.0,28.0,1.67,22.87,11.04,17.77,8.13,6.49,1.82,19.27,1.1,-47.01,3789.21,162.0,200399896.0
PETR3,2009,3.79,11.0,18.36,2.27,11.93,9.01,1.57,60324.0,33.0,2.97,20.63,9.62,13.86,9.53,7.2,2.5,46.46,1.05,43.3,4918.72,151.0,321920848.0
PETR3,2010,2.75,11.1,23.78,1.28,8.74,6.59,0.77,60456.0,28.0,1.87,11.57,6.9,10.21,8.69,6.55,3.24,26.22,0.93,-24.33,6337.31,166.0,355984323.0
PETR3,2011,2.54,9.06,25.47,0.9,6.78,4.84,0.5,61968.0,25.0,1.23,9.97,5.53,8.42,9.89,7.06,3.78,32.19,0.98,-21.58,8372.37,144.0,280326241.0
PETR3,2012,1.61,12.17,26.48,0.74,8.1,4.79,0.38,53242.0,19.0,0.91,6.07,3.09,5.2,15.31,9.05,2.66,29.51,1.21,-13.76,11275.85,144.0,254628581.0
PETR3,2013,1.76,9.07,26.78,0.6,6.07,3.32,0.28,62824.0,21.0,0.68,6.59,3.06,5.05,16.18,8.85,0.0,25.1,1.28,-19.4,15543.57,175.0,222800009.0
PETR3,2014,-1.68,-5.71,23.82,0.4,-5.71,14.28,0.16,8760.0,3.0,0.37,-7.06,-2.76,-3.14,-28.13,70.38,5.63,-39.84,1.84,-37.24,23859.78,260.0,130705860.0
PETR3,2015,-2.7,-3.18,19.77,0.43,-8.48,4.4,0.12,25386.0,8.0,0.35,-13.64,-3.91,-1.7,-55.08,28.61,0.0,0.0,2.08,-4.69,26111.46,191.0,87398130.0
PETR3,2016,-1.0,-16.94,19.38,0.87,13.41,3.4,0.27,65025.0,23.0,0.78,-5.16,-1.62,2.31,39.35,9.97,0.0,-1.83,1.84,95.29,19532.06,157.0,193971670.0
PETR3,2017,0.03,585.1,20.67,0.82,5.84,2.75,0.27,80251.0,28.0,0.78,0.14,0.05,5.16,16.29,7.67,0.0,142.71,1.3,2.3,13012.93,126.0,210016386.0
PETR3,2018,2.05,12.41,21.74,1.17,5.11,3.05,0.39,108522.0,31.0,0.95,9.42,3.1,8.34,9.3,5.56,0.98,11.41,1.53,48.01,17908.42,271.0,295849192.0
PETR3,2019,3.14,10.19,22.93,1.4,5.11,2.98,0.45,140203.0,46.0,1.38,13.7,4.42,9.39,7.98,4.65,0.62,19.62,1.16,20.83,16576.39,306.0,393682919.0
PETR3,2020,0.48,60.25,23.85,1.21,7.58,3.49,0.38,107926.0,40.0,1.38,2.01,0.63,5.59,13.36,6.14,0.8,106.58,1.43,-10.82,35176.78,495.0,369681045.0
PETR3,2021,8.22,3.73,29.87,1.03,1.9,1.46,0.41,273879.0,61.0,0.88,27.53,11.02,23.95,2.85,2.19,18.4,67.79,1.33,16.96,32429.73,581.0,371115940.0
PETR3,Hoje,13.59,2.16,28.68,1.02,1.3,1.06,0.4,361704.0,59.0,0.62,47.37,18.7,33.39,2.02,1.64,47.0,121.07,1.08,13.39,33956.23,675.0,337461137.0
