Name,periodo,lpa,pl,vpa,pVp,pEbit,pEbitda,pAtivos,ebitda,margemEbitda,psr,roe,roa,roic,evEbit,evEbitda,divYield,divPayout,beta,valorizacao,negociosDia,volumeDiario,valorMercado
PETR4,1999,16.53,27.83,165.69,2.78,2238.98,2238.98,105.92,2680.0,9.0,202.77,9.97,3.17,4.94,131.9,131.9,0.0,0.0,NaN,245.9,524.77,43.0,0.0
PETR4,2000,9.19,4.98,23.22,1.97,42.57,42.57,8.92,14029.0,28.0,12.0,39.55,14.9,22.25,25.07,25.07,17.85,0.0,0.65,-0.47,626.81,58.0,49721841.0
PETR4,2001,9.24,5.54,26.71,1.92,51.81,51.81,8.88,12879.0,22.0,11.6,34.6,13.35,18.2,27.43,27.43,6.59,0.0,0.62,16.36,733.9,57.0,55554220.0
PETR4,2002,7.27,6.38,31.05,1.49,56.38,56.38,6.22,10735.0,16.0,8.75,23.41,8.12,11.82,34.03,34.03,7.09,0.0,0.83,-3.52,820.54,50.0,50395226.0
PETR4,2003,17.85,4.28,46.5,1.64,34.64,34.64,7.32,28767.0,30.0,10.41,38.39,14.37,22.27,13.1,13.1,6.06,0.0,0.79,75.3,973.61,65.0,83775503.0
PETR4,2004,17.76,5.47,58.85,1.65,42.4,42.4,8.62,29892.0,28.0,11.71,30.17,13.24,21.66,12.43,12.43,5.38,0.0,0.84,30.26,1406.18,101.0,106528667.0
PETR4,2005,5.87,6.34,19.37,1.92,12.2,12.2,2.64,39770.0,29.0,3.55,30.31,14.03,22.78,9.54,9.54,11.18,0.0,0.83,63.54,2025.07,132.0,163208716.0
PETR4,2006,6.54,7.61,23.94,2.08,15.49,12.54,3.09,51814.0,33.0,4.11,27.34,13.64,21.08,9.02,7.31,4.16,0.0,0.95,35.79,4469.44,284.0,218474492.0
PETR4,2007,5.53,15.98,27.39,3.23,31.74,24.47,4.99,47118.0,28.0,6.76,20.2,10.5,16.71,10.26,7.91,1.54,0.0,1.0,80.03,7423.12,577.0,387814159.0
PETR4,2008,3.68,6.21,16.07,1.42,6.09,4.86,1.02,61294.0,28.0,1.38,22.87,11.04,17.77,8.13,6.49,2.19,19.27,1.08,-47.17,19380.18,885.0,200399896.0
PETR4,2009,3.79,9.69,18.36,2.0,10.51,7.93,1.38,60324.0,33.0,2.62,20.63,9.62,13.86,9.53,7.2,2.83,46.46,0.97,54.43,17736.76,624.0,321920848.0
PETR4,2010,2.75,9.92,23.78,1.15,7.81,5.89,0.68,60456.0,28.0,1.67,11.57,6.9,10.21,8.69,6.55,3.63,26.22,0.96,-24.25,20546.96,650.0,355984323.0
PETR4,2011,2.54,8.47,25.47,0.84,6.34,4.52,0.47,61968.0,25.0,1.15,9.97,5.53,8.42,9.89,7.06,4.05,32.19,0.92,-17.49,22748.43,505.0,280326241.0
PETR4,2012,1.61,12.15,26.48,0.74,8.09,4.78,0.38,53242.0,19.0,0.9,6.07,3.09,5.2,15.31,9.05,2.66,29.51,1.19,-7.9,31918.84,525.0,254628581.0
PETR4,2013,1.76,9.68,26.78,0.64,6.48,3.55,0.3,62824.0,21.0,0.73,6.59,3.06,5.05,16.18,8.85,0.0,25.1,1.13,-13.25,32878.13,541.0,222800009.0
PETR4,2014,-1.68,-5.96,23.82,0.42,-5.96,14.92,0.16,8760.0,3.0,0.39,-7.06,-2.76,-3.14,-28.13,70.38,9.98,-39.84,1.92,-36.36,45077.34,771.0,130705860.0
PETR4,2015,-2.7,-2.48,19.77,0.34,-6.63,3.44,0.1,25386.0,8.0,0.27,-13.64,-3.91,-1.7,-55.08,28.61,0.0,0.0,1.94,-28.41,46639.39,530.0,87398130.0
PETR4,2016,-1.0,-14.87,19.38,0.77,11.77,2.98,0.24,65025.0,23.0,0.69,-5.16,-1.62,2.31,39.35,9.97,0.0,-1.83,1.98,116.67,41790.15,618.0,193971670.0
PETR4,2017,0.03,557.07,20.67,0.78,5.56,2.62,0.25,80251.0,28.0,0.74,0.14,0.05,5.16,16.29,7.67,0.0,142.71,1.48,9.83,34231.11,564.0,210016386.0
PETR4,2018,2.05,11.08,21.74,1.04,4.56,2.73,0.34,108522.0,31.0,0.85,9.42,3.1,8.34,9.3,5.56,3.97,11.41,1.75,42.82,51867.56,1439.0,295849192.0
PETR4,2019,3.14,9.61,22.93,1.32,4.82,2.81,0.43,140203.0,46.0,1.3,13.7,4.42,9.39,7.98,4.65,2.12,19.62,1.2,28.14,50115.92,1435.0,393682919.0
PETR4,2020,0.48,59.19,23.85,1.19,7.45,3.43,0.37,107926.0,40.0,1.36,2.01,0.63,5.59,13.36,6.14,0.0,106.58,1.34,-7.68,55457.6,1578.0,369681045.0
PETR4,2021,8.22,3.46,29.87,0.95,1.76,1.36,0.38,273879.0,61.0,0.82,27.53,11.02,23.95,2.85,2.19,19.86,67.79,1.39,10.76,56626.15,2112.0,371115940.0
PETR4,Hoje,13.59,1.9,28.68,0.9,1.14,0.93,0.36,361704.0,59.0,0.55,47.37,18.7,33.39,2.02,1.64,53.38,121.07,1.07,10.23,53823.19,2563.0,337461137.0
