Name,periodo,lpa,pl,vpa,pVp,pEbit,pEbitda,pAtivos,ebitda,margemEbitda,psr,roe,roa,roic,evEbit,evEbitda,divYield,divPayout,beta,valorizacao,negociosDia,volumeDiario,valorMercado
VALE3,2005,9.97,9.58,23.45,4.07,30.18,26.66,8.52,17117.0,50.0,13.43,42.52,21.42,29.71,28.63,25.29,2.81,26.92,0.88,31.85,468.85,34.0,0.0
VALE3,2006,6.02,10.58,18.67,3.41,15.47,13.71,2.47,22205.0,49.0,6.72,32.24,11.82,16.7,23.89,21.17,2.72,20.45,0.99,35.96,834.77,50.0,153911558.0
VALE3,2007,4.46,13.29,12.77,4.64,9.99,8.71,2.13,32538.0,50.0,4.38,34.94,16.22,22.06,16.08,14.02,1.82,22.64,1.24,83.97,1926.29,123.0,286609110.0
VALE3,2008,4.16,6.65,19.63,1.41,5.05,4.22,0.71,31326.0,44.0,1.88,21.21,11.69,14.52,17.77,14.87,3.94,26.84,1.15,-50.56,4246.03,159.0,144362147.0
VALE3,2009,2.0,24.77,19.48,2.54,17.67,12.56,1.35,18836.0,39.0,4.88,10.26,5.93,7.79,34.54,24.55,2.04,51.66,1.33,66.48,5196.02,149.0,258029888.0
VALE3,2010,5.87,9.42,22.29,2.48,6.54,5.73,1.23,46184.0,55.0,3.18,26.34,14.28,20.7,11.14,9.76,1.77,17.42,1.22,9.34,5514.54,155.0,288727432.0
VALE3,2011,7.34,5.38,28.78,1.37,3.55,3.14,0.78,60020.0,58.0,1.83,25.5,15.47,23.58,8.66,7.66,7.3,40.44,0.98,-26.3,8224.43,181.0,201088169.0
VALE3,2012,1.79,23.6,30.2,1.4,13.47,8.64,0.76,23394.0,25.0,2.16,5.93,3.46,6.1,31.36,20.11,5.37,126.57,0.98,9.39,11161.4,185.0,217884737.0
VALE3,2013,-0.05,-713.28,29.52,1.21,5.11,4.03,0.58,42319.0,41.0,1.66,-0.17,-0.09,12.33,14.29,11.27,5.04,-3629.84,1.03,-14.64,11421.02,160.0,184027057.0
VALE3,2014,0.04,508.61,29.03,0.75,5.96,3.78,0.34,27683.0,31.0,1.19,0.15,0.07,6.12,27.68,17.57,8.63,4460.36,0.66,-32.85,13106.29,143.0,112910446.0
VALE3,2015,-8.93,-1.46,27.05,0.48,-2.2,-4.19,0.18,-14847.0,-17.0,0.73,-32.99,-13.31,-8.9,-18.32,-34.96,7.44,-11.03,1.48,-35.44,16182.0,127.0,67148476.0
VALE3,2016,2.54,10.13,25.49,1.01,4.89,3.3,0.38,37179.0,39.0,1.3,9.95,4.12,8.44,20.02,13.5,0.66,13.75,1.6,103.55,17340.87,132.0,134674035.0
VALE3,2017,3.34,12.04,28.03,1.44,5.57,4.15,0.59,46376.0,43.0,1.77,11.93,5.39,11.5,13.91,10.36,3.3,26.41,1.03,67.8,21154.46,363.0,212752964.0
VALE3,2018,4.88,10.46,32.87,1.55,5.64,4.4,0.71,55415.0,41.0,1.81,14.84,7.54,14.12,10.61,8.26,3.86,50.63,0.72,27.17,32281.82,886.0,269508225.0
VALE3,2019,-1.65,-32.39,29.74,1.79,113.71,14.99,0.69,16990.0,11.0,1.71,-5.53,-2.35,0.69,201.17,26.52,2.65,-7.99,1.04,7.09,37411.69,1011.0,281662518.0
VALE3,2020,4.71,18.56,34.25,2.55,8.03,6.08,0.87,68747.0,33.0,2.0,13.76,5.21,13.33,8.23,6.23,2.76,75.12,0.97,67.67,55690.96,1710.0,462127251.0
VALE3,2021,23.64,3.3,38.39,2.03,2.64,2.36,0.75,157714.0,54.0,1.27,61.58,24.31,34.2,3.05,2.73,18.68,60.4,0.83,0.14,60653.94,2587.0,400126426.0
VALE3,Hoje,22.48,3.77,39.23,2.16,3.94,3.41,0.93,118924.0,51.0,1.73,57.3,24.65,26.97,4.3,3.73,8.59,31.9,0.98,18.82,63233.25,2524.0,405488732.0
